Date,Company,Sector,Transcript,Sentiment_Score
2024-05-09,Costco,Retail,"This quarter, our cash flow has strengthened due to improved operational efficiencies.",-0.12
2024-09-10,Pfizer,Healthcare,5 is leading the sector with record-breaking earnings this year.,0.0
2025-02-14,Chevron,Energy,We are expanding aggressively into 38 markets to capitalize on industry growth.,0.0
2025-02-06,Morgan Stanley,Finance,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2024-06-16,Chevron,Energy,"Revenue grew by 40% this quarter, driven by strong demand in Energy.",0.43
2024-09-09,Chevron,Energy,Increased regulation in 39 is creating new challenges for our business model.,0.14
2024-12-23,Costco,Retail,Our new product line in 9 is seeing exceptional early adoption.,0.3
2024-05-07,BP,Energy,Increased regulation in 22 is creating new challenges for our business model.,0.14
2024-11-23,Target,Retail,Our new product line in 20 is seeing exceptional early adoption.,0.3
2025-02-10,Goldman Sachs,Finance,Increased regulation in 17 is creating new challenges for our business model.,0.14
2024-09-28,JPMorgan,Finance,23 is leading the sector with record-breaking earnings this year.,0.0
2025-01-03,Gilead Sciences,Healthcare,Our new product line in 10 is seeing exceptional early adoption.,0.3
2024-09-30,Target,Retail,We are expanding aggressively into 28 markets to capitalize on industry growth.,0.0
2024-10-06,Pfizer,Healthcare,We are seeing growing consumer interest in 20 due to macroeconomic trends.,-0.12
2025-02-12,BP,Energy,We are seeing growing consumer interest in 44 due to macroeconomic trends.,-0.12
2024-08-27,Amazon,Technology,Increased regulation in 49 is creating new challenges for our business model.,0.14
2025-02-24,Pfizer,Healthcare,28 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-04-01,JPMorgan,Finance,9 is leading the sector with record-breaking earnings this year.,0.0
2024-08-03,Bank of America,Finance,We are expanding aggressively into 35 markets to capitalize on industry growth.,0.0
2024-10-04,Johnson & Johnson,Healthcare,"Revenue grew by 20% this quarter, driven by strong demand in Healthcare.",0.43
2024-11-19,Moderna,Healthcare,Our new product line in 26 is seeing exceptional early adoption.,0.3
2024-04-12,Moderna,Healthcare,24 is leading the sector with record-breaking earnings this year.,0.0
2025-01-05,Pfizer,Healthcare,Increased regulation in 12 is creating new challenges for our business model.,0.14
2024-03-13,Amazon,Retail,45 is leading the sector with record-breaking earnings this year.,0.0
2024-11-30,BP,Energy,Market volatility due to global economic conditions remains a concern.,0.03
2024-08-25,Chevron,Energy,We are expanding aggressively into 29 markets to capitalize on industry growth.,0.0
2024-04-28,Target,Retail,18 is leading the sector with record-breaking earnings this year.,0.0
2025-01-28,Amazon,Technology,Our new product line in 42 is seeing exceptional early adoption.,0.3
2024-03-19,Tesla,Technology,Our new product line in 25 is seeing exceptional early adoption.,0.3
2024-12-11,Microsoft,Technology,47 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-11-19,Meta,Technology,"This quarter, our cash flow has strengthened due to improved operational efficiencies.",-0.12
2025-01-04,BP,Energy,"This quarter, our cash flow has strengthened due to improved operational efficiencies.",-0.12
2024-08-21,Walmart,Retail,"This quarter, our cash flow has strengthened due to improved operational efficiencies.",-0.12
2024-08-08,Amazon,Retail,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2024-08-03,Morgan Stanley,Finance,44 is leading the sector with record-breaking earnings this year.,0.0
2025-02-27,Amazon,Retail,Increased regulation in 43 is creating new challenges for our business model.,0.14
2024-10-29,JPMorgan,Finance,Increased regulation in 50 is creating new challenges for our business model.,0.14
2024-04-24,BP,Energy,Our new product line in 12 is seeing exceptional early adoption.,0.3
2024-07-14,Meta,Technology,Our new product line in 32 is seeing exceptional early adoption.,0.3
2024-09-05,JPMorgan,Finance,25 is leading the sector with record-breaking earnings this year.,0.0
2024-07-07,Meta,Technology,Market volatility due to global economic conditions remains a concern.,0.03
2025-02-12,Microsoft,Technology,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2024-03-21,Chevron,Energy,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2024-08-23,Target,Retail,We are expanding aggressively into 37 markets to capitalize on industry growth.,0.0
2024-05-21,Chevron,Energy,Market volatility due to global economic conditions remains a concern.,0.03
2024-04-15,JPMorgan,Finance,We are seeing growing consumer interest in 31 due to macroeconomic trends.,-0.12
2025-01-16,Goldman Sachs,Finance,36 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-10-10,Shell,Energy,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2024-07-24,Walmart,Retail,33 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-10-30,Nvidia,Technology,We are seeing growing consumer interest in 45 due to macroeconomic trends.,-0.12
2025-01-04,Tesla,Technology,We are expanding aggressively into 11 markets to capitalize on industry growth.,0.0
2024-07-20,Shell,Energy,Our new product line in 8 is seeing exceptional early adoption.,0.3
2024-04-04,Costco,Retail,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2024-08-10,Johnson & Johnson,Healthcare,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2024-11-14,Nvidia,Technology,We are seeing growing consumer interest in 18 due to macroeconomic trends.,-0.12
2025-01-14,Shell,Energy,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2024-08-04,Johnson & Johnson,Healthcare,19 is leading the sector with record-breaking earnings this year.,0.0
2024-07-07,Target,Retail,"This quarter, our cash flow has strengthened due to improved operational efficiencies.",-0.12
2024-06-12,Pfizer,Healthcare,Our new product line in 9 is seeing exceptional early adoption.,0.3
2025-02-02,Chevron,Energy,We are expanding aggressively into 26 markets to capitalize on industry growth.,0.0
2024-05-23,Pfizer,Healthcare,We are seeing growing consumer interest in 24 due to macroeconomic trends.,-0.12
2024-09-17,Bank of America,Finance,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2024-12-05,Gilead Sciences,Healthcare,We are seeing growing consumer interest in 20 due to macroeconomic trends.,-0.12
2025-01-28,ExxonMobil,Energy,5 is leading the sector with record-breaking earnings this year.,0.0
2025-02-13,Goldman Sachs,Finance,We are expanding aggressively into 23 markets to capitalize on industry growth.,0.0
2024-12-27,Chevron,Energy,"This quarter, our cash flow has strengthened due to improved operational efficiencies.",-0.12
2024-10-04,Meta,Technology,Our new product line in 31 is seeing exceptional early adoption.,0.3
2024-05-20,Walmart,Retail,34 is leading the sector with record-breaking earnings this year.,0.0
2024-03-24,BP,Energy,"Revenue grew by 45% this quarter, driven by strong demand in Energy.",0.43
2024-08-26,JPMorgan,Finance,"Revenue grew by 27% this quarter, driven by strong demand in Finance.",0.43
2024-07-18,Moderna,Healthcare,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2024-12-18,Moderna,Healthcare,We are seeing growing consumer interest in 39 due to macroeconomic trends.,-0.12
2024-06-10,JPMorgan,Finance,Increased regulation in 19 is creating new challenges for our business model.,0.14
2024-07-26,Costco,Retail,Market volatility due to global economic conditions remains a concern.,0.03
2025-01-06,Costco,Retail,"Revenue grew by 43% this quarter, driven by strong demand in Retail.",0.43
2024-07-10,JPMorgan,Finance,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2024-05-24,Target,Retail,Increased regulation in 37 is creating new challenges for our business model.,0.14
2025-02-10,JPMorgan,Finance,Increased regulation in 48 is creating new challenges for our business model.,0.14
2024-12-11,Google,Technology,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2025-02-23,Shell,Energy,42 is leading the sector with record-breaking earnings this year.,0.0
2024-12-11,Johnson & Johnson,Healthcare,"Revenue grew by 45% this quarter, driven by strong demand in Healthcare.",0.43
2024-09-13,Gilead Sciences,Healthcare,"This quarter, our cash flow has strengthened due to improved operational efficiencies.",-0.12
2024-05-26,JPMorgan,Finance,"Revenue grew by 38% this quarter, driven by strong demand in Finance.",0.43
2024-12-19,Target,Retail,Our new product line in 6 is seeing exceptional early adoption.,0.3
2025-01-28,BP,Energy,32 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-04-15,Microsoft,Technology,We are expanding aggressively into 28 markets to capitalize on industry growth.,0.0
2024-12-19,Moderna,Healthcare,We are seeing growing consumer interest in 15 due to macroeconomic trends.,-0.12
2024-10-05,Chevron,Energy,Increased regulation in 11 is creating new challenges for our business model.,0.14
2024-04-08,ExxonMobil,Energy,Increased regulation in 37 is creating new challenges for our business model.,0.14
2024-11-19,Moderna,Healthcare,Market volatility due to global economic conditions remains a concern.,0.03
2024-09-20,ExxonMobil,Energy,"Revenue grew by 50% this quarter, driven by strong demand in Energy.",0.43
2024-08-16,Google,Technology,34 is investing heavily in AI and automation to enhance efficiency.,-0.2
2025-01-09,Costco,Retail,We are seeing growing consumer interest in 38 due to macroeconomic trends.,-0.12
2024-06-09,Amazon,Technology,Increased regulation in 50 is creating new challenges for our business model.,0.14
2024-04-10,Meta,Technology,We are seeing growing consumer interest in 40 due to macroeconomic trends.,-0.12
2024-12-08,BP,Energy,"Revenue grew by 26% this quarter, driven by strong demand in Energy.",0.43
2025-03-04,ExxonMobil,Energy,17 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-03-21,Walmart,Retail,Market volatility due to global economic conditions remains a concern.,0.03
2024-06-01,Goldman Sachs,Finance,"Revenue grew by 36% this quarter, driven by strong demand in Finance.",0.43
2024-07-05,Apple,Technology,Increased regulation in 45 is creating new challenges for our business model.,0.14
2024-10-01,Moderna,Healthcare,39 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-08-14,Target,Retail,47 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-07-18,Target,Retail,Increased regulation in 19 is creating new challenges for our business model.,0.14
2024-06-06,Tesla,Technology,Market volatility due to global economic conditions remains a concern.,0.03
2024-09-06,Chevron,Energy,We are expanding aggressively into 12 markets to capitalize on industry growth.,0.0
2024-04-16,Walmart,Retail,20 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-09-21,Google,Technology,Our new product line in 26 is seeing exceptional early adoption.,0.3
2024-11-22,Morgan Stanley,Finance,Market volatility due to global economic conditions remains a concern.,0.03
2024-03-30,Costco,Retail,46 is investing heavily in AI and automation to enhance efficiency.,-0.2
2025-01-16,Google,Technology,8 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-11-17,Morgan Stanley,Finance,Market volatility due to global economic conditions remains a concern.,0.03
2025-03-01,Goldman Sachs,Finance,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2025-01-04,Moderna,Healthcare,23 is investing heavily in AI and automation to enhance efficiency.,-0.2
2025-03-02,Tesla,Technology,"Revenue grew by 47% this quarter, driven by strong demand in Technology.",0.43
2025-02-08,Morgan Stanley,Finance,We are seeing growing consumer interest in 11 due to macroeconomic trends.,-0.12
2024-09-06,Walmart,Retail,Our new product line in 13 is seeing exceptional early adoption.,0.3
2024-05-25,Chevron,Energy,50 is leading the sector with record-breaking earnings this year.,0.0
2025-02-11,Amazon,Technology,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2024-07-06,Moderna,Healthcare,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2024-09-23,Goldman Sachs,Finance,Our new product line in 6 is seeing exceptional early adoption.,0.3
2024-12-19,Amazon,Retail,32 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-09-02,Gilead Sciences,Healthcare,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2024-12-29,Chevron,Energy,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2024-05-10,ExxonMobil,Energy,Increased regulation in 36 is creating new challenges for our business model.,0.14
2024-05-25,Johnson & Johnson,Healthcare,"Revenue grew by 14% this quarter, driven by strong demand in Healthcare.",0.43
2024-08-31,Johnson & Johnson,Healthcare,"This quarter, our cash flow has strengthened due to improved operational efficiencies.",-0.12
2025-02-10,Morgan Stanley,Finance,Increased regulation in 18 is creating new challenges for our business model.,0.14
2025-01-01,Bank of America,Finance,We are expanding aggressively into 40 markets to capitalize on industry growth.,0.0
2025-03-06,Bank of America,Finance,Increased regulation in 20 is creating new challenges for our business model.,0.14
2024-10-31,Morgan Stanley,Finance,Market volatility due to global economic conditions remains a concern.,0.03
2024-06-02,Costco,Retail,"Revenue grew by 20% this quarter, driven by strong demand in Retail.",0.43
2024-10-29,Tesla,Technology,Market volatility due to global economic conditions remains a concern.,0.03
2024-05-14,ExxonMobil,Energy,Increased regulation in 49 is creating new challenges for our business model.,0.14
2024-09-30,Google,Technology,30 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-08-29,Microsoft,Technology,"This quarter, our cash flow has strengthened due to improved operational efficiencies.",-0.12
2024-12-02,Walmart,Retail,"This quarter, our cash flow has strengthened due to improved operational efficiencies.",-0.12
2024-06-08,Target,Retail,"This quarter, our cash flow has strengthened due to improved operational efficiencies.",-0.12
2024-11-26,BP,Energy,We are expanding aggressively into 27 markets to capitalize on industry growth.,0.0
2025-01-19,Morgan Stanley,Finance,38 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-03-29,Meta,Technology,"This quarter, our cash flow has strengthened due to improved operational efficiencies.",-0.12
2024-05-05,Microsoft,Technology,Our new product line in 26 is seeing exceptional early adoption.,0.3
2024-07-12,ExxonMobil,Energy,We are expanding aggressively into 50 markets to capitalize on industry growth.,0.0
2024-09-02,Pfizer,Healthcare,"This quarter, our cash flow has strengthened due to improved operational efficiencies.",-0.12
2024-07-04,Goldman Sachs,Finance,Increased regulation in 26 is creating new challenges for our business model.,0.14
2024-12-27,Pfizer,Healthcare,We are seeing growing consumer interest in 41 due to macroeconomic trends.,-0.12
2024-08-25,ExxonMobil,Energy,Our new product line in 44 is seeing exceptional early adoption.,0.3
2024-10-21,Morgan Stanley,Finance,We are seeing growing consumer interest in 10 due to macroeconomic trends.,-0.12
2024-11-25,BP,Energy,We are expanding aggressively into 22 markets to capitalize on industry growth.,0.0
2024-12-01,Moderna,Healthcare,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2024-05-22,Shell,Energy,Market volatility due to global economic conditions remains a concern.,0.03
2025-02-07,ExxonMobil,Energy,"This quarter, our cash flow has strengthened due to improved operational efficiencies.",-0.12
2024-03-21,Microsoft,Technology,35 is leading the sector with record-breaking earnings this year.,0.0
2025-01-24,Walmart,Retail,Market volatility due to global economic conditions remains a concern.,0.03
2024-09-04,Tesla,Technology,"This quarter, our cash flow has strengthened due to improved operational efficiencies.",-0.12
2024-09-01,Pfizer,Healthcare,Increased regulation in 21 is creating new challenges for our business model.,0.14
2024-04-03,Google,Technology,"This quarter, our cash flow has strengthened due to improved operational efficiencies.",-0.12
2024-07-05,ExxonMobil,Energy,"Revenue grew by 17% this quarter, driven by strong demand in Energy.",0.43
2024-03-19,Amazon,Technology,49 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-11-05,Apple,Technology,We are seeing growing consumer interest in 28 due to macroeconomic trends.,-0.12
2024-05-16,ExxonMobil,Energy,Our new product line in 6 is seeing exceptional early adoption.,0.3
2024-08-30,Costco,Retail,12 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-04-10,Nvidia,Technology,We are seeing growing consumer interest in 10 due to macroeconomic trends.,-0.12
2024-05-15,Chevron,Energy,Our new product line in 21 is seeing exceptional early adoption.,0.3
2024-09-09,Amazon,Retail,"Revenue grew by 6% this quarter, driven by strong demand in Retail.",0.43
2024-03-27,BP,Energy,We are expanding aggressively into 46 markets to capitalize on industry growth.,0.0
2024-10-10,Nvidia,Technology,"Revenue grew by 15% this quarter, driven by strong demand in Technology.",0.43
2024-09-28,Apple,Technology,50 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-06-19,Morgan Stanley,Finance,37 is investing heavily in AI and automation to enhance efficiency.,-0.2
2025-03-04,Shell,Energy,24 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-03-26,Johnson & Johnson,Healthcare,32 is leading the sector with record-breaking earnings this year.,0.0
2024-09-17,Moderna,Healthcare,"Revenue grew by 37% this quarter, driven by strong demand in Healthcare.",0.43
2024-10-20,Bank of America,Finance,Our new product line in 41 is seeing exceptional early adoption.,0.3
2024-11-21,Chevron,Energy,"Revenue grew by 37% this quarter, driven by strong demand in Energy.",0.43
2024-03-13,JPMorgan,Finance,"Revenue grew by 45% this quarter, driven by strong demand in Finance.",0.43
2024-08-22,Pfizer,Healthcare,25 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-11-06,Microsoft,Technology,"Revenue grew by 11% this quarter, driven by strong demand in Technology.",0.43
2024-06-03,Tesla,Technology,We are expanding aggressively into 16 markets to capitalize on industry growth.,0.0
2024-10-25,Moderna,Healthcare,"Revenue grew by 11% this quarter, driven by strong demand in Healthcare.",0.43
2024-03-12,ExxonMobil,Energy,Increased regulation in 25 is creating new challenges for our business model.,0.14
2024-11-08,Pfizer,Healthcare,"Revenue grew by 13% this quarter, driven by strong demand in Healthcare.",0.43
2024-11-23,Walmart,Retail,Our new product line in 35 is seeing exceptional early adoption.,0.3
2025-02-12,Nvidia,Technology,We are expanding aggressively into 34 markets to capitalize on industry growth.,0.0
2025-02-22,Amazon,Retail,24 is leading the sector with record-breaking earnings this year.,0.0
2024-07-20,Amazon,Retail,"This quarter, our cash flow has strengthened due to improved operational efficiencies.",-0.12
2024-08-07,Microsoft,Technology,"This quarter, our cash flow has strengthened due to improved operational efficiencies.",-0.12
2024-07-19,Costco,Retail,We are seeing growing consumer interest in 10 due to macroeconomic trends.,-0.12
2024-11-04,Costco,Retail,Increased regulation in 20 is creating new challenges for our business model.,0.14
2024-05-27,Moderna,Healthcare,We are seeing growing consumer interest in 11 due to macroeconomic trends.,-0.12
2024-05-22,Apple,Technology,8 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-10-21,Microsoft,Technology,"Revenue grew by 13% this quarter, driven by strong demand in Technology.",0.43
2024-04-21,Goldman Sachs,Finance,"Revenue grew by 6% this quarter, driven by strong demand in Finance.",0.43
2024-06-07,Costco,Retail,We are seeing growing consumer interest in 37 due to macroeconomic trends.,-0.12
2025-03-02,JPMorgan,Finance,We are expanding aggressively into 42 markets to capitalize on industry growth.,0.0
2024-12-15,Costco,Retail,28 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-09-27,Costco,Retail,Increased regulation in 13 is creating new challenges for our business model.,0.14
2024-05-09,Walmart,Retail,14 is investing heavily in AI and automation to enhance efficiency.,-0.2
2025-03-04,Amazon,Technology,37 is leading the sector with record-breaking earnings this year.,0.0
2024-07-18,Amazon,Technology,We are expanding aggressively into 47 markets to capitalize on industry growth.,0.0
2025-01-25,ExxonMobil,Energy,We are expanding aggressively into 22 markets to capitalize on industry growth.,0.0
2024-10-05,Bank of America,Finance,48 is leading the sector with record-breaking earnings this year.,0.0
2024-11-30,Amazon,Technology,30 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-09-03,Target,Retail,12 is leading the sector with record-breaking earnings this year.,0.0
2024-11-13,Amazon,Retail,45 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-05-31,ExxonMobil,Energy,We are expanding aggressively into 13 markets to capitalize on industry growth.,0.0
2024-12-09,Gilead Sciences,Healthcare,Our new product line in 50 is seeing exceptional early adoption.,0.3
2025-01-18,Nvidia,Technology,Increased regulation in 25 is creating new challenges for our business model.,0.14
2024-10-18,Bank of America,Finance,Increased regulation in 17 is creating new challenges for our business model.,0.14
2025-03-09,Johnson & Johnson,Healthcare,Our new product line in 18 is seeing exceptional early adoption.,0.3
2024-12-04,Chevron,Energy,We are seeing growing consumer interest in 16 due to macroeconomic trends.,-0.12
2025-01-22,JPMorgan,Finance,We are expanding aggressively into 13 markets to capitalize on industry growth.,0.0
2025-02-09,Walmart,Retail,We are expanding aggressively into 18 markets to capitalize on industry growth.,0.0
2024-08-22,Amazon,Retail,Our new product line in 10 is seeing exceptional early adoption.,0.3
2025-02-12,Amazon,Retail,"This quarter, our cash flow has strengthened due to improved operational efficiencies.",-0.12
2024-07-20,Pfizer,Healthcare,6 is leading the sector with record-breaking earnings this year.,0.0
2024-06-23,Walmart,Retail,49 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-09-11,Morgan Stanley,Finance,Market volatility due to global economic conditions remains a concern.,0.03
2024-12-10,Johnson & Johnson,Healthcare,9 is investing heavily in AI and automation to enhance efficiency.,-0.2
2025-01-19,ExxonMobil,Energy,Our new product line in 14 is seeing exceptional early adoption.,0.3
2024-07-26,Goldman Sachs,Finance,36 is leading the sector with record-breaking earnings this year.,0.0
2024-03-27,Gilead Sciences,Healthcare,34 is leading the sector with record-breaking earnings this year.,0.0
2024-08-30,Goldman Sachs,Finance,20 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-09-07,Walmart,Retail,"Revenue grew by 24% this quarter, driven by strong demand in Retail.",0.43
2024-05-09,ExxonMobil,Energy,Increased regulation in 48 is creating new challenges for our business model.,0.14
2024-10-06,Morgan Stanley,Finance,31 is leading the sector with record-breaking earnings this year.,0.0
2024-11-27,Walmart,Retail,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2024-04-22,Costco,Retail,Our new product line in 31 is seeing exceptional early adoption.,0.3
2025-03-09,Pfizer,Healthcare,We are seeing growing consumer interest in 17 due to macroeconomic trends.,-0.12
2024-09-12,Meta,Technology,"Revenue grew by 19% this quarter, driven by strong demand in Technology.",0.43
2024-10-16,Bank of America,Finance,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2024-11-04,Shell,Energy,Increased regulation in 23 is creating new challenges for our business model.,0.14
2025-02-27,ExxonMobil,Energy,We are seeing growing consumer interest in 43 due to macroeconomic trends.,-0.12
2024-03-12,ExxonMobil,Energy,9 is leading the sector with record-breaking earnings this year.,0.0
2025-03-08,Shell,Energy,8 is leading the sector with record-breaking earnings this year.,0.0
2024-03-27,Goldman Sachs,Finance,Our new product line in 22 is seeing exceptional early adoption.,0.3
2024-08-03,Morgan Stanley,Finance,"Revenue grew by 17% this quarter, driven by strong demand in Finance.",0.43
2025-01-01,BP,Energy,Our new product line in 24 is seeing exceptional early adoption.,0.3
2024-09-12,JPMorgan,Finance,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2024-07-18,Target,Retail,Increased regulation in 31 is creating new challenges for our business model.,0.14
2024-11-21,Costco,Retail,We are expanding aggressively into 7 markets to capitalize on industry growth.,0.0
2024-08-25,Moderna,Healthcare,We are expanding aggressively into 19 markets to capitalize on industry growth.,0.0
2024-09-23,Johnson & Johnson,Healthcare,Increased regulation in 16 is creating new challenges for our business model.,0.14
2024-06-19,BP,Energy,Our new product line in 48 is seeing exceptional early adoption.,0.3
2024-11-26,JPMorgan,Finance,16 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-11-11,Shell,Energy,Our new product line in 32 is seeing exceptional early adoption.,0.3
2024-07-17,Costco,Retail,36 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-03-13,BP,Energy,"This quarter, our cash flow has strengthened due to improved operational efficiencies.",-0.12
2025-02-23,Johnson & Johnson,Healthcare,22 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-04-06,Walmart,Retail,48 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-09-03,ExxonMobil,Energy,16 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-10-22,Morgan Stanley,Finance,17 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-03-30,Moderna,Healthcare,Our new product line in 38 is seeing exceptional early adoption.,0.3
2024-10-19,Walmart,Retail,We are expanding aggressively into 27 markets to capitalize on industry growth.,0.0
2024-05-25,ExxonMobil,Energy,We are seeing growing consumer interest in 14 due to macroeconomic trends.,-0.12
2024-08-05,Microsoft,Technology,"This quarter, our cash flow has strengthened due to improved operational efficiencies.",-0.12
2024-06-18,Costco,Retail,Increased regulation in 39 is creating new challenges for our business model.,0.14
2025-01-17,Walmart,Retail,41 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-04-08,Amazon,Technology,We are seeing growing consumer interest in 36 due to macroeconomic trends.,-0.12
2024-04-10,Gilead Sciences,Healthcare,Increased regulation in 12 is creating new challenges for our business model.,0.14
2024-06-10,Google,Technology,Our new product line in 44 is seeing exceptional early adoption.,0.3
2024-08-05,Costco,Retail,Our new product line in 28 is seeing exceptional early adoption.,0.3
2025-01-04,Walmart,Retail,Our new product line in 24 is seeing exceptional early adoption.,0.3
2024-11-08,Moderna,Healthcare,We are expanding aggressively into 44 markets to capitalize on industry growth.,0.0
2024-07-31,Gilead Sciences,Healthcare,We are seeing growing consumer interest in 15 due to macroeconomic trends.,-0.12
2024-08-05,Gilead Sciences,Healthcare,We are seeing growing consumer interest in 35 due to macroeconomic trends.,-0.12
2024-10-08,Tesla,Technology,"This quarter, our cash flow has strengthened due to improved operational efficiencies.",-0.12
2025-01-20,Walmart,Retail,"Revenue grew by 9% this quarter, driven by strong demand in Retail.",0.43
2024-08-18,Chevron,Energy,"Revenue grew by 41% this quarter, driven by strong demand in Energy.",0.43
2024-06-20,Costco,Retail,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2025-02-02,Morgan Stanley,Finance,Rising interest rates are impacting our borrowing costs and future outlook.,0.0
2025-03-02,Pfizer,Healthcare,Increased regulation in 13 is creating new challenges for our business model.,0.14
2024-11-22,ExxonMobil,Energy,"Revenue grew by 42% this quarter, driven by strong demand in Energy.",0.43
2024-06-06,ExxonMobil,Energy,49 is leading the sector with record-breaking earnings this year.,0.0
2024-06-05,Chevron,Energy,"This quarter, our cash flow has strengthened due to improved operational efficiencies.",-0.12
2024-10-22,Johnson & Johnson,Healthcare,We are seeing growing consumer interest in 17 due to macroeconomic trends.,-0.12
2024-03-24,Nvidia,Technology,15 is investing heavily in AI and automation to enhance efficiency.,-0.2
2024-08-07,Target,Retail,Our new product line in 10 is seeing exceptional early adoption.,0.3
