Trader_Type,Transaction_Type,Stock_Symbol,Trade_Volume,Sentiment_Score,Price_Impact,Transaction_Date
Insider,Buy,MSFT,9376,0.59,0.81,2022-02-16
Whale,Buy,BTC,375556,0.5,29.04,2023-01-18
Retail Investor,Buy,TSLA,495,0.82,0.08,2021-02-20
Retail Investor,Sell,GOOGL,227,-0.56,-0.02,2020-08-08
Whale,Sell,BTC,800697,-0.66,-138.1,2019-11-16
Retail Investor,Sell,SPY,44,-0.55,-0.0,2022-09-12
Retail Investor,Sell,AAPL,305,-0.42,-0.01,2021-06-09
Retail Investor,Sell,ETH,176,-0.88,-0.04,2022-06-26
Insider,Buy,SPY,7966,0.71,1.15,2023-06-10
Retail Investor,Sell,GOOGL,291,-0.44,-0.03,2019-07-10
Insider,Buy,GOOGL,7896,0.88,1.63,2020-05-20
Insider,Sell,TSLA,8168,-0.8,-0.93,2021-06-06
Whale,Buy,TSLA,346688,0.55,35.4,2024-02-17
Retail Investor,Buy,AMZN,203,0.58,0.02,2022-07-07
Insider,Sell,TSLA,6925,-0.56,-0.86,2019-11-16
Whale,Buy,MSFT,851059,0.32,38.09,2022-09-02
Insider,Buy,AMZN,4454,0.36,0.04,2023-01-16
Insider,Buy,TSLA,6154,0.38,0.3,2023-05-31
Insider,Buy,AMZN,6858,0.77,0.85,2021-04-17
Whale,Buy,TSLA,31756,0.28,2.02,2022-12-04
Retail Investor,Buy,SPY,429,0.65,0.02,2022-06-29
Insider,Sell,META,7754,-0.75,-0.18,2021-12-03
Retail Investor,Sell,META,203,-0.31,-0.01,2019-08-14
Insider,Buy,ETH,5518,0.48,0.66,2020-07-27
Insider,Sell,NVDA,5730,-0.4,-0.54,2020-02-29
Whale,Buy,MSFT,929184,0.26,34.3,2021-05-30
Insider,Sell,AAPL,1623,-0.82,-0.2,2023-07-23
Insider,Buy,AMZN,2981,0.57,0.07,2020-10-08
Retail Investor,Buy,TSLA,211,0.29,0.0,2021-02-12
Retail Investor,Sell,MSFT,367,-0.56,-0.02,2021-03-01
Retail Investor,Sell,BTC,43,-0.75,-0.0,2022-04-09
Retail Investor,Sell,BTC,54,-0.53,-0.0,2020-12-27
Whale,Sell,BTC,212803,-0.41,-17.74,2019-10-19
Retail Investor,Sell,TSLA,343,-0.76,-0.07,2022-06-04
Retail Investor,Sell,META,481,-0.38,-0.01,2021-03-14
Whale,Sell,NVDA,405241,-0.71,-41.23,2020-06-10
Whale,Sell,NVDA,19482,-0.49,-1.59,2019-02-12
Retail Investor,Buy,NVDA,421,0.27,0.03,2020-09-30
Insider,Sell,ETH,7794,-0.73,-1.67,2019-01-15
Whale,Sell,META,527612,-0.62,-91.32,2022-08-06
Whale,Sell,BTC,972492,-0.52,-105.93,2020-05-03
Insider,Sell,GOOGL,1088,-0.36,-0.06,2019-04-04
Retail Investor,Sell,META,469,-0.28,-0.0,2019-02-04
Retail Investor,Buy,GOOGL,312,0.48,0.04,2023-01-16
Retail Investor,Sell,TSLA,170,-0.52,-0.02,2019-09-22
Whale,Buy,SPY,657137,0.26,6.36,2021-09-07
Retail Investor,Sell,NVDA,95,-0.62,-0.01,2019-04-06
Whale,Buy,AMZN,52721,0.56,6.09,2019-10-20
Whale,Sell,META,674388,-0.83,-161.88,2022-10-26
Whale,Buy,BTC,953914,0.42,59.33,2023-10-06
Retail Investor,Buy,SPY,274,0.32,0.0,2019-03-01
Whale,Buy,NVDA,38823,0.44,1.57,2021-04-09
Retail Investor,Buy,AMZN,16,0.88,0.0,2021-05-11
Insider,Buy,SPY,8986,0.81,0.4,2019-11-10
Whale,Buy,ETH,933089,0.83,33.99,2022-05-30
Retail Investor,Buy,AMZN,217,0.75,0.02,2019-08-22
Whale,Sell,BTC,406930,-0.26,-17.53,2022-10-26
Insider,Buy,MSFT,1319,0.61,0.13,2022-01-02
Whale,Buy,AMZN,554540,0.61,33.54,2020-01-09
Retail Investor,Sell,SPY,433,-0.4,-0.01,2019-12-20
Insider,Buy,SPY,5369,0.66,0.94,2023-10-25
Whale,Sell,GOOGL,75745,-0.45,-2.25,2023-04-14
Whale,Buy,ETH,474555,0.71,51.81,2019-06-28
Retail Investor,Sell,ETH,450,-0.62,-0.08,2023-12-28
Whale,Buy,AMZN,198889,0.78,6.56,2019-11-27
Retail Investor,Buy,TSLA,74,0.35,0.0,2022-06-12
Insider,Buy,AMZN,4545,0.58,0.27,2022-01-24
Retail Investor,Buy,MSFT,480,0.77,0.1,2023-04-28
Whale,Buy,BTC,438969,0.8,83.47,2021-02-03
Whale,Sell,AAPL,692142,-0.49,-5.26,2020-11-07
Insider,Sell,AMZN,6850,-0.22,-0.37,2021-04-23
Retail Investor,Sell,ETH,4,-0.37,-0.0,2023-08-15
Whale,Buy,BTC,454696,0.21,19.39,2019-11-04
Retail Investor,Sell,TSLA,31,-0.86,-0.0,2019-08-02
Insider,Buy,META,9075,0.82,0.52,2021-04-11
Retail Investor,Buy,ETH,352,0.75,0.06,2020-04-28
Insider,Buy,AAPL,6625,0.21,0.15,2020-07-14
Insider,Buy,ETH,2940,0.88,0.66,2021-07-23
Whale,Sell,TSLA,160390,-0.73,-34.44,2020-11-27
Retail Investor,Buy,TSLA,238,0.83,0.05,2023-05-17
Whale,Buy,TSLA,248846,0.35,15.62,2022-12-21
Insider,Buy,META,7160,0.54,0.71,2024-02-21
Insider,Sell,BTC,5369,-0.59,-0.36,2021-12-04
Insider,Buy,ETH,3512,0.54,0.38,2021-06-27
Insider,Buy,SPY,7937,0.68,0.94,2021-01-03
Retail Investor,Sell,ETH,168,-0.84,-0.01,2019-12-08
Insider,Buy,TSLA,6197,0.34,0.41,2023-11-20
Retail Investor,Sell,META,346,-0.56,-0.05,2022-05-17
Retail Investor,Sell,META,343,-0.45,-0.03,2019-12-31
Whale,Buy,AMZN,626201,0.33,18.15,2020-04-20
Insider,Sell,AAPL,5523,-0.58,-0.63,2019-11-02
Insider,Sell,META,3784,-0.76,-0.42,2023-04-24
Insider,Sell,MSFT,5208,-0.56,-0.76,2021-03-09
Whale,Sell,AAPL,388409,-0.78,-34.13,2023-10-28
Whale,Buy,BTC,568628,0.53,19.73,2022-10-26
Insider,Sell,BTC,8857,-0.8,-0.96,2023-02-22
Insider,Sell,AMZN,8865,-0.5,-0.92,2021-10-15
Insider,Sell,NVDA,4792,-0.28,-0.33,2019-04-03
Insider,Sell,META,8423,-0.49,-0.25,2019-10-19
Whale,Buy,AMZN,891310,0.85,135.01,2022-01-09
Retail Investor,Buy,AMZN,193,0.89,0.03,2022-03-25
Insider,Buy,SPY,1577,0.85,0.02,2020-03-10
Whale,Sell,AAPL,741215,-0.43,-26.41,2019-09-21
Retail Investor,Sell,AMZN,132,-0.36,-0.01,2023-09-19
Whale,Buy,AMZN,530240,0.86,85.03,2021-04-12
Insider,Buy,ETH,4106,0.64,0.58,2020-12-02
Insider,Sell,SPY,2157,-0.66,-0.11,2019-08-02
Insider,Buy,AMZN,2066,0.26,0.01,2020-01-01
Retail Investor,Sell,NVDA,174,-0.38,-0.02,2020-10-17
Whale,Sell,META,753183,-0.51,-21.66,2019-11-22
Whale,Buy,BTC,597474,0.89,141.76,2023-03-03
Retail Investor,Buy,GOOGL,132,0.35,0.01,2020-08-02
Whale,Buy,ETH,76988,0.29,1.87,2022-01-11
Retail Investor,Sell,SPY,380,-0.38,-0.02,2020-10-17
Whale,Sell,SPY,365416,-0.84,-66.36,2022-03-02
Insider,Buy,AMZN,8246,0.72,0.27,2022-07-22
Whale,Sell,AMZN,551921,-0.44,-38.52,2019-05-10
Retail Investor,Sell,BTC,262,-0.34,-0.01,2023-06-11
Retail Investor,Sell,AMZN,27,-0.87,-0.01,2022-06-22
Retail Investor,Buy,AAPL,14,0.86,0.0,2022-02-21
Retail Investor,Sell,ETH,107,-0.28,-0.0,2020-02-12
Whale,Buy,TSLA,113932,0.27,1.54,2022-09-22
Whale,Sell,ETH,201486,-0.64,-22.99,2021-03-27
Retail Investor,Sell,ETH,463,-0.24,-0.03,2019-06-09
Retail Investor,Sell,MSFT,357,-0.54,-0.05,2024-01-06
Whale,Buy,TSLA,250950,0.31,12.08,2022-12-18
Retail Investor,Sell,NVDA,85,-0.7,-0.02,2022-12-06
Whale,Buy,TSLA,184485,0.37,4.54,2022-10-16
Insider,Sell,SPY,4439,-0.77,-0.39,2021-03-22
Whale,Buy,ETH,861308,0.35,80.39,2019-10-14
Whale,Sell,TSLA,418740,-0.77,-38.01,2021-03-31
Insider,Sell,MSFT,6459,-0.57,-0.38,2023-03-11
Insider,Sell,AAPL,3407,-0.26,-0.18,2024-01-19
Retail Investor,Sell,ETH,358,-0.87,-0.05,2020-05-09
Insider,Buy,AAPL,1640,0.31,0.08,2019-09-09
Retail Investor,Sell,AMZN,111,-0.73,-0.02,2020-03-11
Insider,Sell,TSLA,1017,-0.24,-0.05,2019-01-26
Insider,Buy,AMZN,3429,0.59,0.38,2021-09-03
Insider,Sell,NVDA,3809,-0.87,-0.74,2022-05-13
Retail Investor,Buy,NVDA,411,0.75,0.09,2021-02-15
Retail Investor,Sell,META,256,-0.38,-0.01,2023-02-22
Retail Investor,Sell,ETH,371,-0.68,-0.01,2023-12-02
Whale,Sell,AMZN,60612,-0.88,-1.89,2021-04-02
Retail Investor,Buy,META,358,0.26,0.02,2020-01-22
Whale,Sell,AAPL,704013,-0.47,-53.93,2023-05-28
Retail Investor,Buy,NVDA,116,0.85,0.01,2020-10-25
Retail Investor,Sell,MSFT,373,-0.52,-0.04,2022-06-06
Whale,Buy,TSLA,32491,0.25,1.66,2022-09-06
Retail Investor,Buy,AMZN,194,0.42,0.01,2021-04-17
Insider,Sell,TSLA,3067,-0.4,-0.22,2021-12-16
Insider,Buy,SPY,4468,0.65,0.29,2019-06-25
Whale,Buy,MSFT,172698,0.49,2.27,2023-02-17
Retail Investor,Sell,AMZN,438,-0.57,-0.05,2022-02-28
Whale,Buy,BTC,567185,0.29,40.86,2023-01-28
Insider,Buy,AMZN,8072,0.4,0.05,2021-12-21
Whale,Buy,META,946216,0.7,148.59,2020-08-31
Insider,Sell,AAPL,9157,-0.23,-0.46,2019-02-16
Retail Investor,Sell,BTC,88,-0.86,-0.02,2019-07-09
Retail Investor,Buy,AAPL,446,0.23,0.03,2022-02-02
Whale,Buy,BTC,667060,0.49,63.86,2020-04-17
Retail Investor,Buy,GOOGL,258,0.37,0.01,2023-10-18
Whale,Buy,AAPL,341469,0.69,9.1,2022-06-04
Whale,Sell,AAPL,810467,-0.3,-37.6,2019-07-28
Whale,Sell,BTC,341523,-0.89,-64.29,2019-11-30
Whale,Buy,ETH,84666,0.46,8.85,2023-07-06
Whale,Sell,META,179983,-0.88,-41.91,2020-06-20
Whale,Sell,MSFT,618546,-0.73,-130.3,2022-12-22
Insider,Sell,SPY,8259,-0.77,-1.19,2021-05-25
Insider,Sell,GOOGL,7669,-0.9,-0.73,2022-09-25
Insider,Sell,TSLA,6537,-0.83,-0.49,2020-05-05
Whale,Sell,SPY,967145,-0.41,-43.89,2021-08-21
Retail Investor,Buy,BTC,399,0.73,0.07,2022-11-28
Retail Investor,Sell,GOOGL,454,-0.34,-0.03,2022-03-10
Insider,Sell,TSLA,3975,-0.34,-0.3,2019-01-19
Whale,Buy,BTC,130726,0.82,8.65,2022-07-12
Retail Investor,Sell,NVDA,105,-0.49,-0.01,2023-07-05
Whale,Buy,AMZN,522795,0.87,135.93,2019-08-11
Whale,Sell,NVDA,959814,-0.68,-70.53,2019-07-08
Retail Investor,Buy,SPY,224,0.63,0.03,2023-10-23
Insider,Sell,META,4959,-0.51,-0.24,2023-07-15
Retail Investor,Sell,GOOGL,423,-0.87,-0.02,2021-01-24
Retail Investor,Buy,MSFT,31,0.35,0.0,2022-06-23
Whale,Sell,META,560221,-0.69,-40.16,2022-10-29
Insider,Sell,NVDA,9610,-0.39,-1.09,2021-07-30
Retail Investor,Sell,NVDA,22,-0.58,-0.0,2023-08-13
Insider,Sell,BTC,6362,-0.29,-0.45,2022-06-10
Whale,Buy,META,544208,0.33,42.91,2023-05-20
Retail Investor,Sell,META,393,-0.5,-0.02,2022-09-13
Retail Investor,Buy,GOOGL,158,0.53,0.01,2021-11-10
Insider,Sell,TSLA,1051,-0.27,-0.02,2023-07-17
Whale,Buy,AAPL,992633,0.8,183.6,2019-03-05
Whale,Buy,AMZN,121446,0.34,1.79,2019-04-06
Retail Investor,Sell,MSFT,200,-0.66,-0.03,2021-10-18
Insider,Sell,SPY,5044,-0.65,-0.71,2022-12-14
Insider,Sell,META,4916,-0.64,-0.72,2021-08-22
Whale,Buy,META,366593,0.41,18.14,2022-10-02
Retail Investor,Sell,GOOGL,458,-0.5,-0.0,2023-07-12
Retail Investor,Buy,META,32,0.72,0.0,2019-03-03
Retail Investor,Sell,META,322,-0.63,-0.05,2019-12-06
Insider,Buy,BTC,3826,0.5,0.25,2022-01-22
Whale,Buy,GOOGL,121650,0.47,0.86,2019-09-16
Whale,Sell,BTC,974068,-0.55,-67.86,2019-06-20
Insider,Buy,AMZN,9544,0.82,1.76,2020-06-07
Whale,Sell,TSLA,21203,-0.24,-0.7,2020-01-05
Insider,Sell,AMZN,4928,-0.5,-0.55,2019-03-30
Retail Investor,Buy,NVDA,16,0.42,0.0,2019-08-31
Whale,Sell,SPY,414506,-0.51,-50.72,2023-11-16
Insider,Sell,SPY,5744,-0.61,-1.0,2022-11-22
Whale,Sell,MSFT,152921,-0.57,-4.8,2022-03-18
Insider,Buy,SPY,7867,0.42,0.84,2022-02-05
Whale,Buy,AMZN,73946,0.79,13.39,2023-02-27
Whale,Sell,NVDA,280782,-0.49,-16.77,2019-03-25
Whale,Buy,BTC,338590,0.34,17.37,2021-08-15
Insider,Buy,META,3605,0.58,0.52,2023-03-22
Whale,Sell,BTC,992292,-0.48,-48.11,2019-06-14
Whale,Sell,GOOGL,579116,-0.6,-33.25,2021-05-10
Retail Investor,Buy,SPY,235,0.44,0.01,2022-05-17
Whale,Sell,AAPL,585591,-0.45,-26.74,2020-04-21
Insider,Sell,AMZN,5351,-0.49,-0.76,2023-03-23
Retail Investor,Buy,MSFT,87,0.59,0.01,2020-09-02
Retail Investor,Sell,ETH,370,-0.77,-0.08,2021-06-20
Insider,Buy,AAPL,2825,0.67,0.28,2023-08-17
Whale,Buy,NVDA,41290,0.7,1.06,2019-03-06
Insider,Buy,TSLA,2664,0.89,0.42,2020-12-28
Insider,Sell,SPY,5850,-0.48,-0.4,2021-04-23
Whale,Sell,AMZN,421732,-0.76,-30.4,2019-08-17
Retail Investor,Buy,AMZN,352,0.79,0.06,2023-09-09
Insider,Sell,MSFT,7915,-0.22,-0.31,2020-08-18
Insider,Buy,NVDA,9105,0.69,1.21,2019-10-24
Retail Investor,Buy,AAPL,383,0.76,0.01,2019-05-25
Retail Investor,Sell,GOOGL,137,-0.72,-0.0,2022-07-14
Insider,Buy,GOOGL,6127,0.23,0.06,2019-01-21
Whale,Buy,TSLA,680337,0.7,96.27,2022-12-04
Retail Investor,Buy,AMZN,195,0.58,0.01,2021-06-23
Whale,Sell,MSFT,840397,-0.49,-19.44,2022-08-20
Retail Investor,Buy,TSLA,94,0.56,0.0,2019-12-10
Insider,Buy,TSLA,5979,0.87,0.79,2020-10-13
Whale,Buy,NVDA,637729,0.75,90.31,2023-11-20
Whale,Sell,ETH,726687,-0.69,-68.46,2019-08-29
Insider,Buy,ETH,4823,0.51,0.27,2020-07-23
Whale,Sell,BTC,175616,-0.47,-18.79,2023-03-19
Retail Investor,Sell,AMZN,265,-0.62,-0.04,2022-05-04
Retail Investor,Buy,ETH,336,0.39,0.02,2020-12-13
Whale,Buy,META,723557,0.45,45.13,2020-12-19
Insider,Sell,SPY,7150,-0.27,-0.46,2024-02-19
Insider,Sell,AAPL,6296,-0.58,-0.94,2019-08-28
Insider,Sell,ETH,6837,-0.38,-0.72,2023-09-23
Retail Investor,Buy,MSFT,119,0.65,0.01,2022-10-14
Retail Investor,Buy,AAPL,180,0.6,0.02,2021-03-30
Insider,Buy,TSLA,7118,0.89,0.31,2021-12-10
Insider,Buy,TSLA,4138,0.63,0.14,2020-05-06
Insider,Buy,AMZN,9399,0.53,0.29,2020-09-05
Insider,Sell,MSFT,7114,-0.49,-0.36,2019-06-08
Insider,Buy,META,6684,0.43,0.1,2023-10-07
Retail Investor,Buy,SPY,434,0.34,0.02,2020-02-06
Insider,Sell,AAPL,1378,-0.22,-0.04,2022-06-19
Whale,Buy,BTC,953170,0.89,72.81,2021-05-24
Whale,Sell,ETH,869288,-0.58,-108.32,2021-05-30
Whale,Buy,META,928904,0.76,97.61,2021-07-13
Insider,Sell,AMZN,1978,-0.73,-0.37,2021-04-29
Retail Investor,Buy,BTC,17,0.88,0.0,2022-06-08
Whale,Buy,GOOGL,665612,0.38,37.49,2022-07-11
Retail Investor,Buy,AAPL,52,0.9,0.0,2021-07-11
Retail Investor,Sell,AAPL,1,-0.46,-0.0,2022-05-12
Insider,Sell,MSFT,4599,-0.61,-0.21,2019-06-12
Retail Investor,Sell,AAPL,105,-0.81,-0.02,2019-11-26
Retail Investor,Buy,AAPL,152,0.54,0.02,2019-05-11
Insider,Buy,AAPL,4328,0.55,0.09,2021-12-19
Whale,Sell,GOOGL,364894,-0.44,-32.06,2023-06-13
Insider,Buy,GOOGL,4834,0.59,0.3,2020-11-28
Insider,Buy,ETH,6322,0.45,0.72,2024-01-14
Retail Investor,Sell,META,267,-0.88,-0.06,2022-02-04
Whale,Sell,AAPL,559170,-0.26,-24.4,2020-11-28
Retail Investor,Buy,AMZN,462,0.36,0.02,2019-08-07
Insider,Sell,AMZN,5105,-0.76,-0.31,2020-11-25
Whale,Sell,MSFT,977182,-0.21,-50.42,2023-03-24
Retail Investor,Buy,MSFT,206,0.67,0.01,2020-12-25
Whale,Buy,META,493921,0.86,45.74,2022-09-27
Retail Investor,Buy,AMZN,438,0.53,0.07,2019-01-02
Whale,Buy,AAPL,786278,0.26,29.78,2020-09-24
Whale,Sell,AMZN,59248,-0.86,-6.94,2020-08-01
Whale,Sell,META,580312,-0.67,-20.45,2019-03-16
Insider,Buy,AAPL,7741,0.5,0.97,2021-08-04
Retail Investor,Buy,NVDA,137,0.5,0.0,2020-07-14
Insider,Buy,GOOGL,6328,0.63,0.33,2020-01-09
Whale,Sell,AAPL,38327,-0.64,-4.95,2023-12-17
Retail Investor,Sell,AAPL,153,-0.37,-0.01,2023-08-09
Whale,Buy,GOOGL,538791,0.45,58.88,2020-07-17
Retail Investor,Sell,TSLA,415,-0.58,-0.01,2023-03-22
Insider,Buy,MSFT,6423,0.84,0.23,2022-12-19
Retail Investor,Buy,SPY,239,0.43,0.0,2019-12-15
Insider,Sell,TSLA,8251,-0.24,-0.34,2023-06-25
Retail Investor,Sell,BTC,253,-0.32,-0.0,2022-07-21
Insider,Sell,AAPL,7105,-0.28,-0.18,2019-07-22
Whale,Sell,AAPL,527903,-0.86,-100.2,2023-07-13
Insider,Sell,GOOGL,2628,-0.68,-0.47,2021-04-27
Whale,Buy,MSFT,577863,0.23,10.68,2023-10-31
Whale,Buy,NVDA,632765,0.38,25.68,2023-12-14
Whale,Sell,BTC,954471,-0.26,-61.2,2021-04-28
Insider,Buy,GOOGL,6091,0.7,0.36,2021-05-27
Retail Investor,Sell,TSLA,51,-0.31,-0.0,2020-08-31
Whale,Buy,GOOGL,128287,0.85,20.42,2023-09-10
Retail Investor,Buy,AAPL,204,0.43,0.0,2021-02-02
Retail Investor,Buy,META,492,0.39,0.01,2022-03-05
Whale,Buy,AAPL,499038,0.53,74.77,2024-01-06
Insider,Buy,BTC,3367,0.24,0.2,2022-11-20
Whale,Sell,AMZN,977843,-0.78,-115.64,2020-02-18
Retail Investor,Buy,GOOGL,189,0.7,0.03,2024-01-03
Retail Investor,Sell,TSLA,219,-0.8,-0.05,2019-09-17
Insider,Buy,BTC,3121,0.79,0.13,2020-03-28
Retail Investor,Sell,AMZN,323,-0.5,-0.0,2020-01-28
Retail Investor,Sell,AMZN,109,-0.41,-0.01,2023-04-18
Whale,Buy,SPY,858952,0.84,116.15,2021-03-27
Retail Investor,Buy,MSFT,14,0.2,0.0,2019-04-06
Retail Investor,Buy,MSFT,64,0.59,0.01,2020-02-01
Whale,Sell,BTC,157355,-0.66,-19.62,2023-02-21
Insider,Sell,AMZN,9572,-0.55,-0.17,2023-08-10
Insider,Sell,META,6255,-0.43,-0.33,2020-01-06
Retail Investor,Buy,ETH,257,0.3,0.01,2021-04-15
Whale,Sell,GOOGL,314937,-0.45,-34.04,2022-06-04
Insider,Sell,SPY,2871,-0.41,-0.31,2022-07-27
Insider,Buy,TSLA,4621,0.26,0.14,2024-01-28
Insider,Sell,NVDA,7623,-0.68,-1.46,2022-08-16
Insider,Sell,AAPL,7073,-0.58,-0.3,2021-04-03
Insider,Buy,TSLA,2284,0.73,0.43,2019-09-30
Insider,Sell,SPY,7170,-0.45,-0.51,2021-02-19
Retail Investor,Buy,SPY,333,0.74,0.06,2021-03-19
Retail Investor,Buy,MSFT,376,0.7,0.03,2023-07-09
Insider,Buy,AAPL,5336,0.25,0.38,2021-11-24
Whale,Buy,SPY,543972,0.88,102.92,2019-01-12
Retail Investor,Buy,META,16,0.73,0.0,2020-04-07
